timestamp,cpu_usage,memory_usage,disk_usage,network_sent,network_received
2024-10-27 00:44:33.294191,25.4,26.7,1.2,5454,7792
2024-10-27 00:44:38.294998,25.0,26.7,1.2,5520,7858
2024-10-27 00:44:43.294978,26.3,26.7,1.2,5520,7858
2024-10-27 00:44:48.294940,25.1,26.7,1.2,5562,7900
2024-10-27 00:44:53.294992,25.9,26.7,1.2,5562,7900
2024-10-27 00:44:58.295105,25.1,26.7,1.2,5628,7966
2024-10-27 00:45:03.292711,26.0,26.7,1.2,5670,8008
2024-10-27 00:45:08.295184,25.8,26.7,1.2,5670,8008
2024-10-27 00:45:13.295003,25.8,26.7,1.2,5736,8074
2024-10-27 00:45:18.288396,25.0,26.7,1.2,5736,8074
2024-10-27 00:45:23.295172,26.3,26.7,1.2,5736,8074
2024-10-27 00:45:28.295094,25.3,26.7,1.2,5802,8140
2024-10-27 00:45:33.293661,25.6,26.7,1.2,5886,8224
2024-10-27 00:45:38.295093,25.2,26.7,1.2,5886,8224
2024-10-27 00:45:43.295174,26.2,26.7,1.2,5952,8290
2024-10-27 00:45:48.295059,25.2,26.7,1.2,5952,8290
2024-10-27 00:45:53.295073,25.6,26.7,1.2,5952,8290
2024-10-27 00:45:58.295099,25.2,26.7,1.2,6018,8356
2024-10-27 00:46:03.284021,26.2,26.7,1.2,6060,8398
2024-10-27 00:46:08.294980,25.1,26.7,1.2,6060,8398
2024-10-27 00:46:13.280457,1.0,26.2,1.2,6538,8662
2024-10-27 00:46:18.279813,0.5,26.2,1.2,6580,8704
2024-10-27 00:46:23.279691,0.5,26.2,1.2,6580,8704
2024-10-27 00:46:28.279913,0.0,26.1,1.2,6580,8704
2024-10-27 00:46:33.279602,1.0,26.1,1.2,6580,8704
